artist_name	artist_image	spotify_url
'68	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/56mfhUDKa1vec6rSLZV5Eg
(DOLCH)	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/4E2rKHVDssGJm2SCDOMMJB
*NSYNC	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/6Ff53KvcvAj5U7Z1vojB5o
*shels	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/0Ivm3PYwfVFeq2trxYqLi2
+44	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/7gkRNHOOt7QfhhXf0rEnmj
-ghost island-		https://open.spotify.com/artist/2EDwDxi07s0C2yH79Crvbo
...And You Will Know Us by the Trail of Dead	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/6wBUn8gMP85n8dPu6LoUcF
.MAR	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/04gDigrS5kc9YWfZHwBETP
1 in Five	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/0OLS7UXmeT4jaX5B10Xf0Q
10 Years	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/0REMf7H0VP6DwfZ9MbuWph
10,000 Years	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/6Vm68846anDdlA1zEiKJ3b
100 gecs	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/6PfSUFtkMVoDkx4MQkzOi3
12 Stones	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/0DrXhci3WAyo0WJv1RBOG6
12dust		https://open.spotify.com/artist/14gSyhJmT6Vl9e4vJCxF5J
16	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/0ne2rg2JwZmIy7X1aVNq7y
19 HPPup		https://open.spotify.com/artist/67Oh5eccy9i8IQbc5tclIL
1914	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/0IpKWttPlwhd7Cevxsh1Bz
22	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/4Euia7UzdRshy1DJOSMTcs
24herbs	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/529oXjexAyYU0ApmR7jpMM
3	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/2RTUTCvo6onsAnheUk3aL9
3 Doors Down	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/2RTUTCvo6onsAnheUk3aL9
3 Inches of Blood	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/0gNkDUN42nBxKOcpoF7iQ4
30 Seconds to Mars	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/0RqtSIYZmd4fiBKVFqyIqD
30 immolated ; 16 returned	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/55tnLZpNeX5TONEtfgmBir
311	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/41Q0HrwWBtuUkJc7C1Rp6K
32 Leaves	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/715XMXJPxYwH5YpplEHV2u
369	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/2GwKduchNwbFP10LgIV7y4
3AMAR		
